source_entity,target_entity,relationship_type,relationship_description,source_entity_id,target_entity_id
rainforest,stripe,Part-of,Rainforest is trying to take market share from stripe,a5821153-ec72-497d-970d-b52739822000,365e88c0-598c-468d-85ed-bbf70fde7ae9
joshua silver,rainforest,Works-for,Joshua silver works for rainforest,dd078dcb-6578-4db7-80a0-6c07146517e5,a5821153-ec72-497d-970d-b52739822000
angela strange,a1 ##6 ##z,Affiliated-with,A1 ##6 ##z is affiliated with angela strange,cef5c4cd-f368-4f98-8dad-6ff2f3537353,
acc ##el,the company,Part-of,The company is a part of acc ##el,79b6580b-05fb-4079-a28e-118791d52ef4,
’ s $ 8. 5 million seed round ,infinity ventures ,Part-of,’ s $ 8.5 million seed round is a part of infinity ventures,1a5f717f-eb83-4958-841e-d891cf828aaa,50d0d629-02fe-42b5-956e-90e18ddeb590
’ s $ 8. 5 million seed round ,box ##group ,Part-of,’ s $ 8.5 million seed round is a part of box ##group,1a5f717f-eb83-4958-841e-d891cf828aaa,0f68fddc-0850-483b-93c9-34b4ec00c7e9
’ s $ 8. 5 million seed round ,the fin ##tech fund ,Part-of,’ s $ 8.5 million seed round is a part of the fin ##tech fund,1a5f717f-eb83-4958-841e-d891cf828aaa,0525df50-4867-4e31-a363-a886998aabae
’ s $ 8. 5 million seed round ,the fin ##tech fund ,Part-of,’ s $ 8.5 million seed round is a part of the fin ##tech fund,1a5f717f-eb83-4958-841e-d891cf828aaa,0fd1241c-c21f-4232-bdb5-1dcad6a09083
’ s $ 8. 5 million seed round ,tech square ventures ,Part-of,’ s $ 8.5 million seed round is a part of tech square ventures,1a5f717f-eb83-4958-841e-d891cf828aaa,8e746954-8cc5-45ec-a97e-bbba39bad8fc
’ s $ 8. 5 million seed round ,ardent venture partners ,Part-of,’ s $ 8.5 million seed round is a part of ardent venture partners,1a5f717f-eb83-4958-841e-d891cf828aaa,af1667ab-0942-44a7-a997-e401b081c1d0
rainforest ,silver ,Affiliated-with,rainforest is affiliated with silver,020d9005-065b-44ce-aed6-11b574d7d774,7a7c36fe-9033-4f1d-be46-c6936378adf2
202 ##2 ,client commitments ,Part-of,2022 is a part of client commitments,9b450f09-61bb-4525-a9f1-7f50ee29b61b,1bb58b51-4d8f-4e1d-9c9c-69828f913231
202 ##2 ,more than $ 500 million in processing ,Part-of,2022 is a part of more than $ 500 million in processing,9b450f09-61bb-4525-a9f1-7f50ee29b61b,462738e1-487a-4d60-81ab-2a9721c713de
software companies ,merchants ,Part-of,software companies is a part of merchants,ae59fb0a-8e26-4005-8c7c-de3c7aa5374e,16bec509-3b33-472b-89e8-518504e301c7
legacy processors ,fis ##er ##v ,Part-of,legacy processors is a part of fis ##er ##v,a426b64b-00b7-41e2-b674-ff5614878b6e,0cd49482-612a-45b6-a3d2-20dc1966f772
legacy processors ,fis ,Part-of,legacy processors is a part of fis,a426b64b-00b7-41e2-b674-ff5614878b6e,08efd52f-5579-4609-9f6d-280bdbd4d54b
stripe ( and its connect product ) ,nik milano ##vic ,Works-for,stripe ( and its connect product ) works for nik milano ##vic,c1857d2a-bc5b-488e-9392-3d958eba3c01,2d492a9f-4aed-458f-9b41-3da2041cf47c
the fin ##tech fund ,nik milano ##vic ,Affiliated-with,the fin ##tech fund is affiliated with nik milano ##vic,0525df50-4867-4e31-a363-a886998aabae,2d492a9f-4aed-458f-9b41-3da2041cf47c
the fin ##tech fund ,nik milano ##vic ,Affiliated-with,the fin ##tech fund is affiliated with nik milano ##vic,0fd1241c-c21f-4232-bdb5-1dcad6a09083,2d492a9f-4aed-458f-9b41-3da2041cf47c
jon ker,joshua,Colleague-Relation,Jon Ker and Joshua worked together at PayPal,7d23ccb6-85e5-4ff6-a339-7503cf5459a0,ba3e44cf-f091-4ba7-8260-cfa40cf18d97
alex wilhelm,jon ker,Friendship,Alex Wilhelm and jon ker are friends,5a6899fb-58ac-4f97-9924-4a38065c27ab,7d23ccb6-85e5-4ff6-a339-7503cf5459a0
mary ann,hagen sberman,Affiliated-with,Mary Ann is affiliated with Hagen sberman,bcb08a28-76d4-4080-a9f2-100bfc1e2cfa,d626d0a7-5241-482a-ab9d-4d77a208b5c2
stripe,shopify,Competition,Stripe and shopify are in competition,028bfab8-6892-40b4-a6c9-507bb6096906,1ab8979c-2e12-464e-946c-4ca4f68cda0f
microsoft,apple,Competition,Microsoft and apple are in competition,0b70a2cf-99a7-42b6-affe-5992dc161742,6bf8fead-04dd-417a-9709-a19021a30e8e
france,paris,Located-in,France is located in Paris,02bcc73c-2f8d-49d8-928b-dab00beb2c8d,
microsoft,jon ker,Part-of,Microsoft is a part of jon ker,0b70a2cf-99a7-42b6-affe-5992dc161742,7d23ccb6-85e5-4ff6-a339-7503cf5459a0
apple,jon ker,Part-of,Apple is a part of jon ker,6bf8fead-04dd-417a-9709-a19021a30e8e,7d23ccb6-85e5-4ff6-a339-7503cf5459a0
attorneys,pay ##pal,Affiliated-with,The attorneys who filed the lawsuit are affiliated with pay ##pal.,0e050856-e6e9-4e3b-bcb4-6869365f23e1,f2433df7-f166-4002-a392-a7c5b3e22198
visa,pay ##pal,Part-of,visa is a part of pay ##pal.,c729c12e-3608-4985-9dc0-30100e3339a1,f2433df7-f166-4002-a392-a7c5b3e22198
master ##card,pay ##pal,Part-of,master ##card is a part of pay ##pal.,5350f541-cbb5-4a3d-a5ae-e2853a42f9ef,f2433df7-f166-4002-a392-a7c5b3e22198
pay ##pal,patrick mc ##ga ##han,Worked-for,patrick mc ##ga ##han worked for pay ##pal.,f2433df7-f166-4002-a392-a7c5b3e22198,268c91f9-670e-49bb-aaab-c3ddcf4c6dd5
scott + scott,patrick mc ##ga ##han,Colleague-Relation,patrick mc ##ga ##han and the partners at scott + scott are colleagues.,fc446a10-31af-44da-820f-45bd01657d3a,268c91f9-670e-49bb-aaab-c3ddcf4c6dd5
dominant card schemes,paypal,Part-of,"Visa, Mastercard, and American Express are part of dominant card schemes, and paypal is a payment processor.",b42996b4-fe81-472a-b4ca-f1713156d8b7,81018f55-4e4c-4a83-8d16-63a5a550cd3e
paypal,sec,Part-of,Paypal is part of the sec.,81018f55-4e4c-4a83-8d16-63a5a550cd3e,65c3826c-9de9-4c5e-a303-af6a0a22dc91
bolt financial,ryan breslow,Founder,Ryan Breslow is a founder of bolt financial.,cab4d6e3-8919-407c-8ff0-82928f77d018,62d170de-3ad4-4e94-b282-19cfe4f73a92
bolt financial,mary ann bolt,CEO,Mary Ann Bolt is the CEO of bolt financial.,cab4d6e3-8919-407c-8ff0-82928f77d018,ef2c931a-4112-441f-a87d-72a303a41814
bolt financial,maj ku ##ru ##vill ##a,CEO,Maj Ku ##ru ##vill ##a is the CEO of bolt financial.,cab4d6e3-8919-407c-8ff0-82928f77d018,4fe060bf-969f-4b07-adbc-3977b319d936
france,paris,Located-in,France is located in paris.,f6913f1d-396f-4122-b324-3e2dc6570d42,
united states,sec,Located-in,The United States is located in the sec.,2901d248-3dd8-4f8f-a84c-ca73dc9c98d0,65c3826c-9de9-4c5e-a303-af6a0a22dc91
August 23,Sec,Part-of,August 23 is a part of the Sec,feb46779-851c-4d3e-a5c1-3ab3ed6882c5,5403bcaf-c0db-4506-ad62-d32296f0a8a3
Tech ##cr ##un ##ch,Sec,Part-of,Tech ##cr ##un ##ch is a part of the Sec,9f94ab7d-4773-4863-bf3c-f605d671a84d,5403bcaf-c0db-4506-ad62-d32296f0a8a3
Ku ##ru ##vill ##a,Christine Weekly,Colleague-Relation,Ku ##ru ##vill ##a and Christine Weekly are colleagues,,
Syn ##ap ##se,Sank ##ae ##t Path ##ak,Part-of,Syn ##ap ##se is a part of Sank ##ae ##t Path ##ak,,
Visa,Mary Ann,Part-of,Visa is a part of Mary Ann,,
David Ro ##ff,Visa,Part-of,David Ro ##ff is a part of Visa,,
Mani ##sh Singh,Indian Unicorn Fin ##tech Slice,Part-of,Mani ##sh Singh is a part of Indian Unicorn Fin ##tech Slice,,
Indian Unicorn Fin ##tech Slice,North East Small Finance Bank,Part-of,Indian Unicorn Fin ##tech Slice is a part of North East Small Finance Bank,,
financial startup,s and ty ##co ##ons,Part-of,s and ty ##co ##ons is a part of financial startup,16e76973-b283-4f0f-b0cd-236b7bae58d9,1a0fb7b6-763e-4b37-860d-0b8b055861d7
financial startup,slice,Part-of,slice is a part of financial startup,16e76973-b283-4f0f-b0cd-236b7bae58d9,4e3418de-71df-4e78-8171-130a606891bd
financial startup,gu ##wa ##hat ##i - headquartered bank,Part-of,gu ##wa ##hat ##i - headquartered bank is a part of financial startup,16e76973-b283-4f0f-b0cd-236b7bae58d9,5641627e-e353-4e08-be8a-0ce26f291b50
financial startup,cr ##ed,Part-of,cr ##ed is a part of financial startup,16e76973-b283-4f0f-b0cd-236b7bae58d9,452a0453-b83c-45d0-8b33-e3f1ba311e35
bengal ##uru - headquartered startup,financial startup,Part-of,financial startup is a part of bengal ##uru - headquartered startup,508dfc0a-118f-4dcc-bfdb-50aa95034e8a,16e76973-b283-4f0f-b0cd-236b7bae58d9
mani ##sh singh,slice,Works-for,mani ##sh singh works for slice,494e0324-e92f-4f03-ab29-96178d607ea7,4e3418de-71df-4e78-8171-130a606891bd
henri ##que dub ##ug ##ras,slice,Works-for,henri ##que dub ##ug ##ras works for slice,2ecf1054-15e4-4731-8bec-e22fcc3371cc,4e3418de-71df-4e78-8171-130a606891bd
laura fi ##uz ##a,slice,Works-for,laura fi ##uz ##a works for slice,7b48fd6b-0abf-4977-9eb1-8dd942044847,4e3418de-71df-4e78-8171-130a606891bd
g ##lo ##bo,slice,Part-of,slice is a part of g ##lo ##bo,52a28e16-f186-41ad-a059-61d91eea999f,4e3418de-71df-4e78-8171-130a606891bd
forte dos re ##med ##ios,slice,Located-in,slice is located in forte dos re ##med ##ios,541867e6-4e3a-41db-9be7-790796a99b87,4e3418de-71df-4e78-8171-130a606891bd
para ##ben ##s,henri ##que and laura!,Friendship,para ##ben ##s is friends with henri ##que and laura!,da4bb150-7f6f-432b-95ea-61951ada3e28,2bd02ab8-db3c-424a-9913-4329367ed75b
henri ##que and laura!,several fin ##tech startup ##s,Part-of,several fin ##tech startup ##s is a part of henri ##que and laura!,2bd02ab8-db3c-424a-9913-4329367ed75b,2caa8058-62e6-403b-b8e5-adffa73f271a
startup ##s of 202 ##3 list,ramp,Part-of,ramp is part of the list of startups from 2023,aaf12301-d680-4120-93cf-634926b625ff,2cb99d46-e709-41a3-bf48-777b8d3a0e0d
startup ##s of 202 ##3 list,no. 1,Part-of,no. 1 is part of the list of startups from 2023,aaf12301-d680-4120-93cf-634926b625ff,f3d58268-5ecc-44ef-b9ce-4f6998f4f324
startup ##s of 202 ##3 list,sync ##tera,Part-of,sync ##tera is part of the list of startups from 2023,aaf12301-d680-4120-93cf-634926b625ff,00490c18-8de0-43d9-98e7-b00a0ffca9b7
